ts,instrument,qty,price,fee,realized
2026-06-03T23:07:20.670848+00:00,AAPL,268.0,184.06,0.0,0.0
2026-06-03T23:07:20.670853+00:00,MSFT,-123.0,409.15000000000003,0.0,-743.9900000000085
2026-06-03T23:07:20.670859+00:00,AMD,16.0,178.73,0.0,-114.39999999999964
2026-06-03T23:07:20.670901+00:00,NVDA,68.0,726.98,0.0,0.0
2026-06-03T23:07:20.670907+00:00,AAPL,-268.0,183.82,0.0,-64.32000000000244
2026-06-03T23:07:20.670912+00:00,AMD,277.0,176.78,0.0,-1440.399999999997
2026-06-03T23:07:20.670918+00:00,INTC,-1128.0,44.050000000000004,0.0,0.0
2026-06-03T23:07:20.670958+00:00,NVDA,-68.0,725.47,0.0,-102.67999999999938
2026-06-03T23:07:20.670964+00:00,AAPL,274.0,182.34,0.0,0.0
2026-06-03T23:07:20.670969+00:00,INTC,-20.0,43.51,0.0,0.0
2026-06-03T23:07:20.671106+00:00,NVDA,70.0,694.99,0.0,0.0
2026-06-03T23:07:20.671113+00:00,AAPL,-274.0,181.6,0.0,-202.7600000000025
2026-06-03T23:07:20.671119+00:00,INTC,42.0,44.550000000000004,0.0,-21.395121951219622
2026-06-03T23:07:20.671161+00:00,NVDA,2.0,674.85,0.0,0.0
2026-06-03T23:07:20.671166+00:00,AAPL,-269.0,182.28,0.0,0.0
2026-06-03T23:07:20.671171+00:00,INTC,1106.0,43.49,0.0,608.9551219512191
2026-06-03T23:07:20.671213+00:00,NVDA,-139.0,785.11,0.0,6528.920000000002
2026-06-03T23:07:20.671219+00:00,AAPL,269.0,184.38,0.0,-564.8999999999985
2026-06-03T23:07:20.671224+00:00,INTC,1230.0,42.96,0.0,0.0
2026-06-03T23:07:20.671265+00:00,NVDA,67.0,788.4300000000001,0.0,-222.44000000000335
2026-06-03T23:07:20.671286+00:00,AMD,298.0,176.51,0.0,0.0
2026-06-03T23:07:20.671293+00:00,INTC,-2457.0,42.96,0.0,0.0
2026-06-03T23:07:20.671381+00:00,MSFT,129.0,407.62,0.0,0.0
2026-06-03T23:07:20.671386+00:00,AMD,-298.0,175.95000000000002,0.0,-166.8799999999922
2026-06-03T23:07:20.671393+00:00,INTC,2.0,42.980000000000004,0.0,-0.04000000000000625
2026-06-03T23:07:20.671434+00:00,NVDA,67.0,787.73,0.0,0.0
2026-06-03T23:07:20.671440+00:00,AAPL,-288.0,182.62,0.0,0.0
2026-06-03T23:07:20.671446+00:00,MSFT,-129.0,407.47,0.0,-19.349999999997067
2026-06-03T23:07:20.671452+00:00,INTC,1225.0,42.75,0.0,257.250000000001
2026-06-03T23:07:20.671492+00:00,NVDA,-67.0,776.79,0.0,-732.9800000000037
2026-06-03T23:07:20.671498+00:00,AAPL,288.0,181.49,0.0,325.4399999999987
2026-06-03T23:07:20.671504+00:00,MSFT,-128.0,407.66,0.0,0.0
2026-06-03T23:07:20.671508+00:00,INTC,1251.0,42.01,0.0,0.0
2026-06-03T23:07:20.671548+00:00,AAPL,292.0,180.77,0.0,0.0
2026-06-03T23:07:20.671553+00:00,MSFT,128.0,413.5,0.0,-747.5199999999968
2026-06-03T23:07:20.671559+00:00,INTC,-1251.0,43.0,0.0,1238.4900000000025
2026-06-03T23:07:20.671564+00:00,AMD,-274.0,192.46,0.0,0.0
2026-06-03T23:07:20.671604+00:00,AAPL,-7.0,179.6,0.0,-8.190000000000111
2026-06-03T23:07:20.671610+00:00,AMD,274.0,202.63,0.0,-2786.5799999999967
2026-06-03T23:07:20.671615+00:00,INTC,-1169.0,43.82,0.0,0.0
2026-06-03T23:07:20.671700+00:00,AAPL,-2.0,175.05,0.0,-11.439999999999998
2026-06-03T23:07:20.671706+00:00,INTC,83.0,45.62,0.0,-149.39999999999975
2026-06-03T23:07:20.671746+00:00,NVDA,-58.0,859.62,0.0,0.0
2026-06-03T23:07:20.671751+00:00,AAPL,-283.0,170.1,0.0,-3019.6100000000047
2026-06-03T23:07:20.671757+00:00,INTC,2248.0,43.17,0.0,705.8999999999985
2026-06-03T23:07:20.671796+00:00,NVDA,58.0,887.62,0.0,-1624.0
2026-06-03T23:07:20.671802+00:00,MSFT,124.0,402.08,0.0,0.0
2026-06-03T23:07:20.671807+00:00,INTC,-2288.0,44.49,0.0,1533.8400000000004
2026-06-03T23:07:20.671846+00:00,AMD,234.0,211.36,0.0,0.0
2026-06-03T23:07:20.671851+00:00,MSFT,-124.0,408.94,0.0,850.6400000000017
2026-06-03T23:07:20.671856+00:00,INTC,51.0,46.15,0.0,-84.65999999999983
2026-06-03T23:07:20.671896+00:00,AAPL,-294.0,170.95000000000002,0.0,0.0
